sample_id,archive_path,member_name,repo,label,index_version,class_name,class_parse_status
5e608ce269bb042f558a7080d63a100e599ab283,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/Evolveum_midpoint_Evolveum_midpoint_com.evolveum.midpoint.util.aspect3256ArrayComparator.code,unknown_repo,0,4,unknown_class,unparsed
a730e76ab027e5744b2d65b62a9bffb068b28c56,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/ethereum_ethereumj_ethereum_ethereumj_org.ethereum.db259DbFlushManager.code,unknown_repo,0,4,unknown_class,unparsed
696105e19a2b16363ae59c35caf47b69ebfa7782,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/calipho-sib_nextprot-api_calipho-sib_nextprot-api_org.nextprot.api.core.service.impl815IsoformGeneMappingsFinder.code,unknown_repo,0,4,unknown_class,unparsed
bbad70c2e3af9fafe42cad0aec0788af00088248,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/vbence_stream-m_vbence_stream-m_org.czentral.format.mp448DataInformationBox.code,unknown_repo,0,4,unknown_class,unparsed
f2fea704c8dc3ffb8ee80320d61ee7f40d4b111f,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/apache_tajo_apache_tajo_org.apache.tajo.storage1789TestStorageUtil.code,unknown_repo,0,4,unknown_class,unparsed
c0fb1eb31b262c33183209708ce32254774761a7,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/mobile-event-processing_Asper_mobile-event-processing_Asper_com.espertech.esper.regression.epl131TestPerfWhereNoWindow.code,unknown_repo,1,4,unknown_class,unparsed
be08a46db37cfb1f9db1409c95090949a93c9ced,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/snakerflow_snakerflow_snakerflow_snakerflow_test.nutz1TestNutz.code,unknown_repo,1,4,unknown_class,unparsed
8c7e1341a9b43f4bfc3cb51b331a18a0c2a4efb2,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/virgo47_javasimon_virgo47_javasimon_org.javasimon.console.action164TreeXmlAction.code,unknown_repo,0,4,unknown_class,unparsed
12f13ef9ae79e03274ed67fb30f9d726ece6346e,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/larsga_Duke_larsga_Duke_no.priv.garshol.duke.test3DeduplicatorTest.code,unknown_repo,1,4,unknown_class,unparsed
5d0b6b7aa28a6878896d419211608f78066dfebc,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/reds-heig_logisim-evolution_reds-heig_logisim-evolution_com.cburch.logisim.circuit285EndList.code,unknown_repo,0,4,unknown_class,unparsed
191613c598c261deb64f857c9de49aca1e0debe4,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/caskdata_cdap_caskdata_cdap_io.cdap.cdap.common.builder1104BuilderException.code,unknown_repo,0,4,unknown_class,unparsed
14a7328860310299fc78d9aa85ccb2251911ff01,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/BrassGoggledCoders_SteamCraft2_BrassGoggledCoders_SteamCraft2_steamcraft.common.init194InitMisc.code,unknown_repo,0,4,unknown_class,unparsed
c40aae0eed4f76cc2005f8eb99660214dca7df67,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/naver_pinpoint_naver_pinpoint_com.navercorp.pinpoint.collector.cluster.zookeeper591ZookeeperClusterService.code,unknown_repo,0,4,unknown_class,unparsed
620496913b6ea2e95f20f69907ed6ae8e15bc37e,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/vert-x3_codegen_vert-x3_codegen_io.vertx.codegen.testmodel122RefedInterface1.code,unknown_repo,0,4,unknown_class,unparsed
cfeaaa7cc044838070b38ebe621ae236074b6fc7,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/apache_incubator-wave_apache_incubator-wave_org.waveprotocol.wave.model.document.operation.impl2452UpdateAttributes.code,unknown_repo,0,4,unknown_class,unparsed
1e9209ff7a1143c2ec121d457fcb5ecdd48f564a,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/mapzen_lost_mapzen_lost_com.mapzen.android.lost.internal6LostRequestManagerTests.code,unknown_repo,1,4,unknown_class,unparsed
10de33d8cf1a91a964958c0986fc4e62780faa3b,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/RuedigerMoeller_kontraktor_RuedigerMoeller_kontraktor_org.nustaq.kontraktor.util373TicketMachine.code,unknown_repo,0,4,unknown_class,unparsed
02828392723192835f64352617d4b7c2ebce2c81,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/BlueBrain_bluima_BlueBrain_bluima_test2310MalignmarkType.code,unknown_repo,0,4,BlueBrain_bluima_test231,parsed
42d9c175c4fe68b13e5ba31de4155a2187a582ae,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/mozilla_j2me.js_mozilla_j2me.js_gfx1105DirectUtilsClipBeforeWithNormalImage.code,unknown_repo,0,4,unknown_class,unparsed
cb076ef666d837a8cbd573b62ce9794e4d3ab303,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/freenet_fred_freenet_fred_freenet.clients.fcp5ClientGet.code,unknown_repo,1,4,unknown_class,unparsed
a7fd7ef65770722d589f7f2b0e9ab6147d7a679a,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/oodrive_eguan_oodrive_eguan_io.eguan.srv14TestAbstractServer.code,unknown_repo,1,4,unknown_class,unparsed
c41d3d3a5204079f1a4381d55bdfa66f02d3b55a,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/apache_incubator-wave_apache_incubator-wave_org.waveprotocol.wave.model.conversation2182TestListener.code,unknown_repo,0,4,unknown_class,unparsed
0127bc3b7e1f2c8c49c48d8248e37e9d14d8d9c0,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/opendaylight_controller_opendaylight_controller_org.opendaylight.controller.cluster.raft.client.messages1187OnDemandRaftState.code,unknown_repo,0,4,unknown_class,unparsed
d056f150dcbf2019ad053135a2f8236d9bce019c,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/CorfuDB_CorfuDB_CorfuDB_CorfuDB_org.corfudb.runtime.view.stream530QueuedStreamContext.code,unknown_repo,0,4,unknown_class,unparsed
1da20c03940c3f24afcd440849324d5d3e78b0b0,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/google_guava_google_guava_com.google.thirdparty.publicsuffix3370TrieParser.code,unknown_repo,0,4,unknown_class,unparsed
635bd6baa1b190012b7a5694ae93d53466fa23b8,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Positive/cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.master.handler63TestTableDescriptorModification.code,unknown_repo,1,4,unknown_class,unparsed
37cd92feb0ad9f47d06622e2e7f0a24f2cba0d44,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/rancherio_cattle_rancherio_cattle_io.cattle.platform.core.model.tables.records635MountRecord.code,unknown_repo,0,4,unknown_class,unparsed
2c5254188d7cc64b078af3bd5f544cdadd18db02,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/addthis_hydra_addthis_hydra_com.addthis.hydra.data.query.op.merge367AverageValue.code,unknown_repo,0,4,unknown_class,unparsed
78f625a731117f9d6a7eaa89bbc7a4d8eea3f667,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/jphp-compiler_jphp_jphp-compiler_jphp_php.runtime.ext.core.classes.lib813ScanProgressHandler.code,unknown_repo,0,4,unknown_class,unparsed
b8ebcb54325a89173de00661ce4e92ece9c5b860,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/bitcoin-solutions_multibit-hd_bitcoin-solutions_multibit-hd_org.multibit.hd.ui.views.wizards.empty_wallet715EmptyWalletConfirmHardwarePanelModel.code,unknown_repo,0,4,unknown_class,unparsed
3d76cc8e9797f809bfb1623e8a4e292264f6d411,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/project-ncl_pnc_project-ncl_pnc_org.jboss.pnc.dto.notification387BuildChangedNotification.code,unknown_repo,0,4,unknown_class,unparsed
bcf25a389ff392552a9143b252111bc28094e83a,/home/opesai/Downloads/CodeSmells/data/training_data_java/FeatureEnvy.7z,FeatureEnvy/Negative/spring-projects_spring-data-examples_spring-projects_spring-data-examples_example.model1019Customer1907.code,unknown_repo,0,4,unknown_class,unparsed
