sample_id,split,label,member_name,class_name,class_context_added,token_length,cached_length,is_truncated
4dd75f6933ed4929175677e17d9df712d58a7852,train,1,FeatureEnvy/Positive/gid15_jpcsp_gid15_jpcsp_com.twilight.h264.decoder0H264Context.code,unknown_class,False,102833,512,True
51f9f3e45ce92dd39108d70f028e4cd55068b2c9,val,0,FeatureEnvy/Negative/bitcoin-solutions_multibit-hardware_bitcoin-solutions_multibit-hardware_com.satoshilabs.trezor.protobuf296TrezorType.code,unknown_class,False,96615,512,True
3322bf7ec5a41e69dd51c0025a67727dc9b5ddfc,val,1,FeatureEnvy/Positive/gid15_jpcsp_gid15_jpcsp_jpcsp.graphics14VideoEngine.code,unknown_class,False,68821,512,True
44acb87c1e0e3abac9a0ad0d56ae4e2c887d58c2,train,0,FeatureEnvy/Negative/mobile-event-processing_Asper_mobile-event-processing_Asper_com.espertech.esper.epl.generated1895EsperEPL2GrammarLexer.code,unknown_class,False,64367,512,True
4f5f17a5d85b97c1397df2ac22a3109c8126d6b9,train,1,FeatureEnvy/Positive/emicklei_rendersnake_emicklei_rendersnake_org.rendersnake0HtmlCanvas.code,unknown_class,False,64079,512,True
a2f82df1a69b5b8d2632684bcd30808d65d036af,train,1,FeatureEnvy/Positive/freenet_fred_freenet_fred_freenet.node28Node.code,unknown_class,False,44692,512,True
901835c4b3272d3bf8c0c40750ac62c06d597145,train,0,FeatureEnvy/Negative/Evolveum_midpoint_Evolveum_midpoint_com.evolveum.midpoint.repo.sql2040EncodingTest.code,unknown_class,False,44044,512,True
99b7c23227e2cbefd17544744b88172c49d7c67f,train,1,FeatureEnvy/Positive/apache_olingo-odata4_apache_olingo-odata4_org.apache.olingo.server.core.uri.parser3ExpressionParserTest.code,unknown_class,False,38797,512,True
f52387986d484c67a34e81cc50f0f67b798db9b2,train,1,FeatureEnvy/Positive/gid15_jpcsp_gid15_jpcsp_jpcsp.Allegrex.compiler5CompilerContext.code,unknown_class,False,35870,512,True
bd029d3b5c09a355d87d44962270b852cda8d8f8,test,1,FeatureEnvy/Positive/cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.regionserver76TestHRegion.code,unknown_class,False,35321,512,True
411af27d423c9f43888659592e2a29434748e4cb,val,1,FeatureEnvy/Positive/gid15_jpcsp_gid15_jpcsp_jpcsp.HLE.modules30sceMpeg.code,unknown_class,False,34069,512,True
e2e013a450f074eca29ddbfbcebd3e3d8b2e52c4,test,0,FeatureEnvy/Negative/cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.rest.protobuf.generated2653StorageClusterStatusMessage.code,unknown_class,False,32908,512,True
404d11d6e03fa3a5fcc2b72b4385d25d6afcfc11,train,0,FeatureEnvy/Negative/cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.regionserver2141HRegionServer.code,unknown_class,False,32865,512,True
9494cd0eda25bd81d8faca02ddcdba21023edaa8,train,1,FeatureEnvy/Positive/cloud-software-foundation_c5_cloud-software-foundation_c5_org.apache.hadoop.hbase.util102HBaseFsck.code,unknown_class,False,32863,512,True
8200934d8fee281ca81ec1ab9f1f805f7a0a1d3b,train,1,FeatureEnvy/Positive/openlvc_portico_openlvc_portico_org.portico.impl.hla1356Rti13Ambassador.code,unknown_class,False,32083,512,True
3dcec8cf2f778b173526085287788ab969d0eebf,train,1,FeatureEnvy/Positive/marklogic_java-client-api_marklogic_java-client-api_com.marklogic.client.functionaltest20TestSparqlQueryManager.code,unknown_class,False,31946,512,True
